fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,winner,decision_method,fight_duration_lastrnd,fight_duration_lastrnd_time,time_format,weight_class,date,location
d7cbe2f23d75afd1,Julio Arce,1291edf2d566a71a,Hakeem Dawodu,2c9d00968f818270,Hakeem Dawodu,Decision - Split,3,5:00,3 Rnd (5-5-5),Featherweight Bout,"November 02, 2019","New York City, New York, USA"
f0418c2c989a5cde,Grigorii Popov,d3fa5c5955397532,Davey Grant,113df4fde64735c6,Davey Grant,Decision - Split,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"November 09, 2019","Moscow, Moscow, Russia"
fc16ccf0994c6e50,Jack Shore,b8a85389d115e35a,Nohelin Hernandez,f97c5433c77522d3,Jack Shore,Submission,3,2:51,3 Rnd (5-5-5),Bantamweight Bout,"September 28, 2019","Copenhagen, Denmark"
18e1b0df8da7010e,Vanessa Melo,9b7dfb3b7d99926a,Tracy Cortez,68d4a891e5cf2029,Tracy Cortez,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,"November 16, 2019","Sao Paulo, Sao Paulo, Brazil"
57ff0eb2351979c4,Khalid Taha,b4537562f88ac582,Bruno Silva,294aa73dbf37d281,Khalid Taha,Submission,3,3:00,3 Rnd (5-5-5),Bantamweight Bout,"October 05, 2019","Melbourne, Victoria, Australia"
1e3d3545b6dd13a7,Daniel Spitz,f86cb5f25d545e0e,Tanner Boser,04c8b08b16a5b99e,Tanner Boser,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Heavyweight Bout,"October 18, 2019","Boston, Massachusetts, USA"
64bee58391921b4b,JJ Aldrich,6fd953151d981979,Lauren Mueller,f923e012414c883e,JJ Aldrich,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"October 12, 2019","Tampa, Florida, USA"
3d9aeef58dd0b51b,Raphael Pessoa,41f90012b86a11bf,Jeff Hughes,6a11e325aa60ad02,Raphael Pessoa,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Heavyweight Bout,"October 26, 2019","Kallang, Singapore"
115fa6f5f3e51bbb,Julio Arce,1291edf2d566a71a,Julian Erosa,902ec2cc48c8ae8a,Julio Arce,KO/TKO,3,1:49,3 Rnd (5-5-5),Featherweight Bout,"May 18, 2019","Rochester, New York, USA"
82eb6fa58ae52428,Katlyn Chookagian,e872e9a9a902c045,Joanne Calderwood,12f91bfa8f1f723b,Katlyn Chookagian,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,"June 08, 2019","Chicago, Illinois, USA"
a4e210bcdcc1bf5b,Joel Alvarez,58bbef3770bb2dfc,Danilo Belluardo,c3f6db17cea09ca7,Joel Alvarez,KO/TKO,2,2:22,3 Rnd (5-5-5),Lightweight Bout,"June 01, 2019","Stockholm, Sweden"
f81f8cfe30e0a1e9,Deron Winn,483a953b18d73bb3,Eric Spicely,b9664eae2ac75262,Deron Winn,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"June 22, 2019","Greenville, South Carolina, USA"
934b44ddcb3d95e6,Julia Avila,86d9dbe1bfcbade7,Pannie Kianzad,91dac5e69e28d5b5,Julia Avila,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,"July 06, 2019","Las Vegas, Nevada, USA"
9ba051e0f5674108,Maurice Greene,068f8a189a47fea6,Junior Albini,c482c8605455a213,Maurice Greene,KO/TKO,1,3:38,3 Rnd (5-5-5),Heavyweight Bout,"June 29, 2019","Minneapolis, Minnesota, USA"
cfbeeffd65101ae1,Pete Sell,,Joshua Burkman,6da99156486ed6c2,Pete Sell,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Welterweight Bout,"October 25, 2008","Rosemont, Illinois, USA"
567a09fd200cfa05,Gerard Gordeau,,Teila Tuli,,Gerard Gordeau,KO/TKO,1,0:26,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
358468724d7d4322,Benito Lopez,773f7feacf96153e,Vince Morales,37098a6e6c27fb66,Benito Lopez,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bantamweight Bout,"July 13, 2019","Sacramento, California, USA"
2d2bbc86e941e05c,Kevin Rosier,,Zane Frazier,,Kevin Rosier,KO/TKO,1,4:20,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
ac7ca2ec38b96c1a,Gerard Gordeau,,Kevin Rosier,,Gerard Gordeau,KO/TKO,1,0:59,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
cecdc0da584274b9,Royce Gracie,,Art Jimmerson,,Royce Gracie,Submission,1,2:18,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
ffd16691c4c4aafc,Royce Gracie,,Ken Shamrock,,Royce Gracie,Submission,1,0:57,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
46acd54cc0c905fb,Ken Shamrock,,Patrick Smith,,Ken Shamrock,Submission,1,1:49,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
64139d1d505e46c5,Royce Gracie,,Gerard Gordeau,,Royce Gracie,Submission,1,1:44,No Time Limit,UFC 1 Tournament Title Bout,"November 12, 1993","Denver, Colorado, USA"
00b0796724ec1c09,Jason DeLucia,,Trent Jenkins,,Jason DeLucia,Submission,1,0:52,No Time Limit,Open Weight Bout,"November 12, 1993","Denver, Colorado, USA"
80fd1902547e0744,Spencer Fisher,f34312c2ccfa0e00,Shannon Gugerty,,Spencer Fisher,Submission,3,3:56,3 Rnd (5-5-5),Lightweight Bout,"October 25, 2008","Rosemont, Illinois, USA"
3feb2a8de9cf37da,Thales Leites,cfb65863d5099327,Drew McFedries,,Thales Leites,Submission,1,1:18,3 Rnd (5-5-5),Middleweight Bout,"October 25, 2008","Rosemont, Illinois, USA"
854c64fe481e65ee,Hermes Franca,,Marcus Aurelio,,Hermes Franca,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lightweight Bout,"October 25, 2008","Rosemont, Illinois, USA"
d5a0e8c67ed8abe0,Sean Sherk,029880cdbf5ca089,Tyson Griffin,,Sean Sherk,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Lightweight Bout,"October 25, 2008","Rosemont, Illinois, USA"
34d1bfdde8ea3e11,Dan Miller,d0c29452d3272603,Matt Horwich,,Dan Miller,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Middleweight Bout,"October 25, 2008","Rosemont, Illinois, USA"
