dob,fighter_id,height,n_draw,n_loss,n_win,name,reach,sig_str_abs_pM,sig_str_def_pct,sig_str_land_pM,sig_str_land_pct,stance,sub_avg,td_avg,td_def_pct,td_land_pct,weight
"Mar 02, 1992",2af2f2e26c4c0402,"5' 8""",0,0,8,Hunter Azure,"69""",1.57,0.56,4.0,0.5,Orthodox,2.5,2.0,0.75,0.33,135 lbs.
"Jul 27, 1986",f72465a784c1b084,"5' 6""",0,7,14,Jessica Eye,"66""",3.36,0.6,3.51,0.36,Orthodox,0.7,0.51,0.56,0.5,125 lbs.
"Aug 11, 1990",55ed59d541f8b90c,"5' 8""",1,7,9,Rolando Dy,"69""",4.47,0.52,3.04,0.37,Orthodox,0.0,0.3,0.68,0.2,145 lbs.
"Feb 07, 1989",44a94bbde42246e4,"5' 9""",0,3,7,Gleidson Cutis,--,8.28,0.59,2.99,0.52,Orthodox,0.0,0.0,0.0,0.0,155 lbs.
"Dec 25, 1984",d024ed963e8bf7ea,"5' 10""",0,12,17,Damien Brown,"68""",4.86,0.5,3.66,0.38,Orthodox,0.7,0.68,0.53,0.27,155 lbs.
"May 30, 1979",b4eeac608fc82f88,"5' 7""",0,11,20,Yves Jabouin,"68""",2.93,0.62,3.06,0.41,Orthodox,0.1,1.94,0.82,0.6,135 lbs.
"Jun 22, 1982",53e4e21f4c688801,--,0,2,4,Hiroshi Izumi,--,2.65,0.66,1.95,0.37,Orthodox,0.5,3.35,1.0,0.7,205 lbs.
"Aug 31, 1972",155bfc7ed36622df,"5' 11""",0,7,11,Solomon Hutcherson,--,2.59,0.64,2.59,0.39,Southpaw,0.0,3.53,0.0,1.0,185 lbs.
"Sep 17, 1974",eaea0fc7b76525a8,"6' 0""",1,5,12,Mike Guymon,"74""",0.79,0.66,2.75,0.65,Orthodox,1.2,1.87,0.54,0.37,170 lbs.
"Nov 10, 1980",c3e2eca94b2320bc,"6' 0""",0,1,1,Katsuaki Furuki,--,2.67,0.39,0.27,0.1,,3.0,0.0,0.0,0.0,168 lbs.
"Mar 27, 1986",e18a19001a3f7c7d,"5' 5""",0,4,9,Alptekin Ozkilic,"65""",5.72,0.59,3.81,0.32,Orthodox,0.0,4.21,0.75,0.58,125 lbs.
"Jun 13, 1992",8667caa0451d245b,"6' 5""",0,1,7,Kennedy Nzechukwu,"83""",3.69,0.55,4.57,0.39,Southpaw,0.0,0.0,0.78,0.0,205 lbs.
"Jul 31, 1994",ca743f96dd2063d5,"5' 3""",0,1,2,Tiffany Masters,"65""",2.58,0.5,3.53,0.62,Orthodox,0.0,3.06,0.0,0.6,115 lbs.
"Aug 18, 1974",91acd6910b802a9e,"5' 11""",5,18,31,Chris Lytle,"68""",3.03,0.58,3.76,0.45,Orthodox,2.4,0.7,0.55,0.55,170 lbs.
"Mar 31, 1980",56b8b24f65f9f057,"6' 4""",1,9,19,Mike Kyle,"77""",2.76,0.54,4.5,0.51,Orthodox,0.9,1.55,0.5,0.62,205 lbs.
"Nov 09, 1985",c9cf753cfdf77fc2,"6' 3""",0,6,17,Marcin Tybura,"78""",3.2,0.52,3.61,0.51,Orthodox,0.1,1.48,0.81,0.61,249 lbs.
"Jun 26, 1982",0c277f3ff66b0208,"6' 2""",1,4,14,Virgil Zwicker,"74""",4.87,0.39,3.34,0.48,,0.0,1.31,0.5,0.3,205 lbs.
"Apr 04, 1992",523af801b3429015,"5' 7""",0,2,13,Allan Zuniga,"70""",1.8,0.61,3.93,0.52,Orthodox,1.0,0.0,0.57,0.0,155 lbs.
--,1291dd6b8ab4d952,"5' 9""",0,1,3,George Zuniga,--,5.45,0.37,7.64,0.38,,0.0,0.0,1.0,0.0,185 lbs.
--,02d808afb96669de,--,0,3,4,Alex Zuniga,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,145 lbs.
"Mar 05, 1980",be124bdd60fab7d5,--,0,7,5,Dave Zitanick,--,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,170 lbs.
--,108afe61a26bcbf4,"6' 1""",2,1,4,Igor Zinoviev,--,0.0,0.0,0.0,0.0,Orthodox,0.0,0.0,0.0,0.0,199 lbs.
