date,fight_id,fighter_1,fighter_1_id,fighter_2,fighter_2_id,location,weight_class
"February 08, 2020",fae99a4089f8abb0,Jon Jones,07f72a2a7591b409,Dominick Reyes,2e19380f34871c6a,"Houston, Texas, USA",UFC Light Heavyweight Title Bout
"February 08, 2020",be822403f364fff3,Mirsad Bektic,cbd3e590a85b18c5,Dan Ige,82a5152216251682,"Houston, Texas, USA",Featherweight Bout
"February 08, 2020",57961c6adebfb13d,Juan Adams,83b00f7597e5ac83,Justin Tafa,e13abac8089a801a,"Houston, Texas, USA",Heavyweight Bout
"February 08, 2020",5ab2a4fec735e0b2,Domingo Pilarte,4bf6b225ff6099c4,Journey Newson,78f485f851891d68,"Houston, Texas, USA",Bantamweight Bout
"February 08, 2020",d3f44fedc561d2d5,Miles Johns,46e0d677f91bacc0,Mario Bautista,bc711b6dd95c1af6,"Houston, Texas, USA",Bantamweight Bout
"February 08, 2020",ed499508be1e5532,Alex Morono,cdb96af67d096b1e,Khaos Williams,2558ae2e5671e318,"Houston, Texas, USA",Welterweight Bout
"February 08, 2020",05cceae674c81b86,Valentina Shevchenko,132deb59abae64b1,Katlyn Chookagian,e872e9a9a902c045,"Houston, Texas, USA",UFC Women's Flyweight Title Bout
"February 08, 2020",cb56e868deaddac4,Lauren Murphy,729d4bd5a6cd0a97,Andrea Lee,05fa626cb33d15b8,"Houston, Texas, USA",Women's Flyweight Bout
"February 08, 2020",11f7bac5037a184c,Trevin Giles,b27a1fcb56a3035a,Antonio Arroyo,61fb8098ccf81c7f,"Houston, Texas, USA",Middleweight Bout
"February 08, 2020",cefb47bcc04f540e,Derrick Lewis,d3df1add9d9a7efb,Ilir Latifi,e9a3aeb207578eea,"Houston, Texas, USA",Heavyweight Bout
"February 08, 2020",326b843cb2b7fd94,Andre Ewell,5f6f049d54728e88,Jonathan Martinez,f2477cf43c4975cc,"Houston, Texas, USA",Bantamweight Bout
"February 08, 2020",a6441acec6718f03,Austin Lingo,305d73ede05e31ad,Youssef Zalal,52c2ae6d2f2d2613,"Houston, Texas, USA",Featherweight Bout
